"Nombre","Jeu"
4,"Données essentielles des marchés publics français      "
0,"Registre d'entrée d'archives         "
2,"Schéma des données d'accessibilité des ERPs      "
2,"Schéma des attributs des arbres urbains      "
1,"DAE           "
2,"DATAtourisme           "
253,"Schéma IRVE          "
3,"Spécification du fichier de déclaration de profil d'acheteur    "
6,"Lieux de covoiturage         "
5,"Lieux de stationnement         "
7,"Schéma d'aménagements cyclables         "
2,"Stationnement cyclable          "
1,"Lieux d’inclusion numérique         "
30,"Base Adresse Locale (BAL)        "
3,"Hautes rémunérations dans la fonction publique      "
2,"Schéma directeur des infrastructures de recharge pour véhicules électriques et hybrides rechargeables"
1,"Zone à Faibles Emissions        "
5,"Part des véhicules à faibles émissions dans le renouvellement d'un parc "
0,"Schéma pour les passages à niveau      "
1,"Informations travaux          "
4,"Catalogue simplifié          "
5,"Schéma SCDL Délibérations         "
8,"Equipements           "
10,"Schéma SCDL Subventions         "
13,"Budget des collectivités et établissements publics locaux     "
0,"Menus de la restauration collective       "
0,"Composition des plats des menus de la restauration collective   "
0,"Schéma des arrêtés permanents de circulation      "
3,"Stations de taxi         "
0,"Point d'Eau Incendie (PEI)        "
2,"Schéma des itinéraires de randonnée       "
0,"Emprise de stationnement sur la voirie      "
